iter	RMSE
199	20.37754577
200	20.36176804
201	20.35757332
202	20.33216489
203	20.32392205
204	20.31646225
205	20.29447594
206	20.2917617
207	20.26668657
208	20.23740241
209	20.21533314
210	20.19708085
211	20.17117571
212	20.16869792
213	20.14057152
214	20.11956605
215	20.11791419
216	20.11585112
217	20.08090493
218	20.06809103
219	20.05304774
220	20.02417709
221	19.99854382
222	19.97563501
223	19.95891778
224	19.92849561
225	19.91116697
226	19.88899714
227	19.86698183
228	19.84098269
229	19.8141754
230	19.7946031
231	19.76405438
232	19.72940702
233	19.70248918
234	19.67714393
235	19.64741601
236	19.61563957
237	19.59312293
238	19.59134903
239	19.57513649
240	19.54676141
241	19.52020464
242	19.50769039
243	19.48756769
244	19.45721356
245	19.42984719
246	19.40511954
247	19.37641959
248	19.35672972
249	19.32225195
250	19.29226825
251	19.26528169
252	19.23825966
253	19.23667006
254	19.23510574
255	19.21854113
256	19.18459755
257	19.16378755
258	19.14302507
259	19.1208148
260	19.08570752
261	19.06386084
262	19.04196584
263	19.02077002
264	19.00480601
265	18.98341944
266	18.96828422
267	18.95633713
268	18.93311687
269	18.91779843
270	18.90444573
271	18.88073155
272	18.85458686
273	18.85026977
274	18.82895484
275	18.8072581
276	18.79134697
277	18.7702376
278	18.75147583
279	18.73307551
280	18.70323286
281	18.68353478
282	18.6673683
283	18.66028502
284	18.63016085
285	18.61692908
286	18.60080179
287	18.57723867
288	18.54912053
289	18.52320584
290	18.50820784
291	18.48926785
292	18.47025572
293	18.43466625
294	18.41679254
295	18.40370248
296	18.39306184
297	18.37418605
298	18.35046403
299	18.33090003
300	18.31469479
301	18.30002296
302	18.28960681
303	18.27138351
304	18.25978231
305	18.24186916
306	18.21898798
307	18.20279816
308	18.18528808
309	18.16253392
310	18.1450765
311	18.12953092
312	18.11018537
313	18.10079616
314	18.09602395
315	18.09494202
316	18.08153299
317	18.06152914
318	18.04666099
319	18.03348079
320	18.01602887
321	18.00224448
322	17.98755378
323	17.97306976
324	17.96038809
325	17.94410469
326	17.92426147
327	17.91366748
328	17.89596132
329	17.8840455
330	17.86169552
331	17.8413252
332	17.8210113
333	17.80931096
334	17.79571571
335	17.77151893
336	17.76739164
337	17.76648172
338	17.75184453
339	17.72664832
340	17.71709018
341	17.69846427
342	17.68124248
343	17.66793573
344	17.65086293
345	17.63396812
346	17.6156734
347	17.61466838
348	17.60043138
349	17.59186966
350	17.56835391
351	17.54708625
352	17.53509846
353	17.52373978
354	17.51115253
355	17.48885734
356	17.47788497
357	17.4552165
358	17.43136772
359	17.41305073
360	17.395979
361	17.38027972
362	17.36829364
363	17.35358698
364	17.33467097
365	17.33376986
366	17.32420459
367	17.30985025
368	17.29759101
369	17.29675347
370	17.28264444
371	17.2648034
372	17.2399457
373	17.23920078
374	17.21880358
375	17.19859174
376	17.18275993
377	17.16670925
378	17.15553109
379	17.14223277
380	17.12034041
381	17.1051153
382	17.08480438
383	17.06913756
384	17.05558915
385	17.03360309
386	17.01394932
387	17.00242298
388	16.98462048
389	16.97763774
390	16.97689033
391	16.95688455
392	16.94008801
393	16.92759632
394	16.90407121
395	16.90335903
396	16.88863863
397	16.87535069
398	16.86045989
399	16.84427637
400	16.83009009
401	16.81649785
402	16.80481397
403	16.78370484
404	16.77101159
405	16.75840223
406	16.74046316
407	16.72178943
408	16.70563307
409	16.68655827
410	16.6757018
411	16.65640341
412	16.63390564
413	16.61746498
414	16.60893894
415	16.59278924
416	16.57096356
417	16.5620571
418	16.54121456
419	16.52940849
420	16.51620325
421	16.49748961
422	16.48081018
423	16.47102411
424	16.45040937
425	16.43694518
426	16.42048894
427	16.40747023
428	16.39069897
429	16.372255
430	16.35244392
431	16.33967314
432	16.32841645
433	16.31855013
434	16.30384114
435	16.28433358
436	16.27360376
437	16.26740405
438	16.24822071
439	16.23885864
440	16.23817371
441	16.22617953
442	16.20677948
443	16.19573728
444	16.18292217
445	16.18177887
446	16.16808855
447	16.15583651
448	16.1452682
449	16.13573228
450	16.12530207
451	16.11918942
452	16.09859623
453	16.08966238
454	16.08908118
455	16.07450865
456	16.05352548
457	16.03757221
458	16.02650852
459	16.00819913
460	15.99652163
461	15.98036898
462	15.96188229
463	15.95291588
464	15.93894044
465	15.92661638
466	15.91656614
467	15.91591811
468	15.91452675
469	15.90143599
470	15.89856992
471	15.89161029
472	15.87874157
473	15.86861851
474	15.85836496
475	15.84198206
476	15.83273696
477	15.83161093
478	15.81881831
479	15.801474
480	15.79192739
481	15.77879296
482	15.77184723
483	15.75991875
484	15.74133487
485	15.74066398
486	15.72242414
487	15.7120802
488	15.69949807
489	15.68133275
490	15.66967155
491	15.64678035
492	15.63698338
493	15.62641818
494	15.61191961
495	15.60419229
496	15.59006378
497	15.57386346
498	15.55876332
499	15.54146015
