iter	RMSE
0	37.78089774
1	36.94069389
2	36.19883742
3	35.46421105
4	34.76959047
5	34.14923408
6	33.5290627
7	32.97361086
8	32.44650229
9	31.95103633
10	31.49530647
11	31.06044309
12	30.66475535
13	30.31454422
14	29.93728875
15	29.59822153
16	29.27019051
17	28.97631812
18	28.69010594
19	28.42374681
20	28.1439313
21	27.91273797
22	27.70328001
23	27.46893832
24	27.25500413
25	27.06861498
26	26.89874372
27	26.73011755
28	26.56982296
29	26.40373803
30	26.28992311
31	26.16530395
32	26.04711048
33	25.91637867
34	25.80168393
35	25.69713371
36	25.58471585
37	25.47698311
38	25.3749076
39	25.30479416
40	25.23703567
41	25.13604883
42	25.05336748
43	24.95978259
44	24.9063688
45	24.8301455
46	24.75198302
47	24.65366413
48	24.61112493
49	24.55878037
50	24.53243494
51	24.47011279
52	24.38854308
53	24.30857911
54	24.24143995
55	24.18077248
56	24.12330699
57	24.05229567
58	23.98531124
59	23.94960849
60	23.92154314
61	23.86155756
62	23.82774681
63	23.81026337
64	23.75810752
65	23.74858762
66	23.69839773
67	23.65266663
68	23.63826922
69	23.57995519
70	23.52446587
71	23.50520825
72	23.49757014
73	23.45715486
74	23.41229698
75	23.38617252
76	23.34877802
77	23.31924795
78	23.30685777
79	23.26518404
80	23.25680937
81	23.22548243
82	23.18515908
83	23.1588577
84	23.10150606
85	23.0709742
86	23.06550909
87	23.05475742
88	23.03948539
89	22.99623235
90	22.95916335
91	22.9299242
92	22.87456386
93	22.86697341
94	22.8294516
95	22.8005792
96	22.7667583
97	22.71797329
98	22.67154785
99	22.63592487
100	22.60669153
101	22.5741917
102	22.55188282
103	22.51716472
104	22.51283301
105	22.50803928
106	22.45871332
107	22.43504154
108	22.40658424
109	22.372869
110	22.35495056
111	22.32930385
112	22.32093028
113	22.29456991
114	22.28667958
115	22.26460932
116	22.25455129
117	22.23059368
118	22.21656428
119	22.20651775
120	22.18944668
121	22.18033253
122	22.16040477
123	22.13539496
124	22.13158539
125	22.11977145
126	22.08556787
127	22.0629421
128	22.05578286
129	22.02316337
130	22.00606709
131	22.00312884
132	21.99830036
133	21.9544004
134	21.92472429
135	21.91861503
136	21.88585402
137	21.87284832
138	21.8396719
139	21.81688857
140	21.79824402
141	21.7676363
142	21.75167789
143	21.72805202
144	21.68063381
145	21.65390301
146	21.61531414
147	21.57269268
148	21.53470337
149	21.50749276
150	21.48907831
151	21.46705674
152	21.44407303
153	21.44054113
154	21.42560583
155	21.39554139
156	21.38621595
157	21.37172321
158	21.34192526
159	21.33773521
160	21.31394514
161	21.29146953
162	21.26711281
163	21.23492313
164	21.19869909
165	21.15509461
166	21.11927821
167	21.09205552
168	21.06682347
169	21.04527274
170	21.02851734
171	21.00301448
172	20.98504702
173	20.95646688
174	20.92977481
175	20.89709722
176	20.88984008
177	20.85866198
178	20.85615371
179	20.83108187
180	20.80068812
181	20.76946219
182	20.74218256
183	20.71816932
184	20.69462168
185	20.67618011
186	20.65635009
187	20.62645487
188	20.61761258
189	20.59628989
190	20.57622549
191	20.55460016
192	20.53342815
193	20.521035
194	20.49587174
195	20.47314465
196	20.44755403
197	20.42944445
198	20.39772501
